,BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA,경도,위도
184,1003,M,200835,450609,1.11402E+18,91.2,11140625,207325,200829,450604,200841,450614,45.6,127.0073481,37.5577547
185,2003,M,200818,450618,1.11402E+18,617.95,11140625,207322,200809,450611,200827,450626,123.59,127.0071558,37.5578358
186,1001,M,200822,450843,1.11402E+18,202.04,11140625,207578,200817,450835,200826,450850,50.51,127.0072013,37.55986302
187,1003,M,200677,450940,1.11401E+18,183.04,11140580,207125,200672,450934,200683,450947,91.52,127.0055602,37.56073709
188,1003,M,201172,451701,1.11402E+18,65.46,11140615,207264,201167,451695,201176,451707,65.46,127.0111638,37.56759316
189,1003,M,201179,451702,1.11402E+18,73.65,11140615,207264,201174,451696,201183,451708,73.65,127.0112431,37.56760216
190,1003,M,201187,451703,1.11402E+18,68.6,11140615,207264,201182,451698,201192,451708,68.6,127.0113336,37.56761116
191,1003,M,201228,451701,1.11402E+18,213.16,11140615,207263,201220,451691,201235,451712,213.16,127.0117977,37.56759309
192,1003,M,201239,451708,1.11402E+18,76.5,11140615,207263,201234,451703,201244,451714,76.5,127.0119222,37.56765614
193,1003,M,201249,451702,1.11402E+18,179.67,11140615,207263,201239,451692,201257,451715,179.67,127.0120354,37.56760207
194,1002,M,196777,450343,1.11402E+18,55.71,11140680,208499,196773,450339,196780,450346,18.57,126.9614226,37.55535252
195,1003,M,201264,451707,1.11402E+18,163.3,11140615,207263,201259,451695,201269,451718,163.3,127.0122052,37.5676471
196,1003,M,201274,451714,1.11402E+18,63.52,11140615,207263,201269,451709,201279,451720,63.52,127.0123184,37.56771016
197,1003,M,201279,451701,1.11402E+18,70.32,11140615,207263,201276,451693,201283,451708,70.32,127.012375,37.56759302
198,1003,M,201273,451705,1.11402E+18,27.28,11140615,207263,201270,451702,201276,451708,27.28,127.0123071,37.56762907
199,1003,M,201287,451696,1.11402E+18,30.29,11140615,207263,201283,451693,201291,451700,30.29,127.0124655,37.56754796
