BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA
02003,M,200840,450617,1114016200003550022,388,11140625,207325,200833,450610,200847,450623,77.6
01003,M,200835,450609,1114016200003550004,91.2,11140625,207325,200829,450604,200841,450614,45.6
02003,M,200818,450618,1114016200003550025,617.95,11140625,207322,200809,450611,200827,450626,123.59
01001,M,200822,450843,1114016200004210010,202.04,11140625,207578,200817,450835,200826,450850,50.51
01003,M,200677,450940,1114014400002000086,183.04,11140580,207125,200672,450934,200683,450947,91.52
01003,M,201172,451701,1114016200002480035,65.46,11140615,207264,201167,451695,201176,451707,65.46
01003,M,201179,451702,1114016200002480033,73.65,11140615,207264,201174,451696,201183,451708,73.65
01003,M,201187,451703,1114016200002480012,68.6,11140615,207264,201182,451698,201192,451708,68.6
01003,M,201228,451701,1114016200002470008,213.16,11140615,207263,201220,451691,201235,451712,213.16
01003,M,201239,451708,1114016200002470048,76.5,11140615,207263,201234,451703,201244,451714,76.5
01003,M,201249,451702,1114016200002470005,179.67,11140615,207263,201239,451692,201257,451715,179.67
01002,M,196777,450343,1114017400002160001,55.71,11140680,208499,196773,450339,196780,450346,18.57
01003,M,201264,451707,1114016200002470016,163.3,11140615,207263,201259,451695,201269,451718,163.3
01003,M,201274,451714,1114016200002470014,63.52,11140615,207263,201269,451709,201279,451720,63.52
01003,M,201279,451701,1114016200002470024,70.32,11140615,207263,201276,451693,201283,451708,70.32
01003,M,201273,451705,1114016200002470024,27.28,11140615,207263,201270,451702,201276,451708,27.28
01003,M,201287,451696,1114016200002470031,30.29,11140615,207263,201283,451693,201291,451700,30.29
01003,M,201273,451692,1114016200002470039,35.52,11140615,207263,201268,451688,201278,451695,35.52
01003,M,201297,451697,1114016200002470029,24.59,11140615,207263,201294,451692,201300,451702,24.59
01003,M,201293,451697,1114016200002470029,21.52,11140615,207263,201291,451692,201297,451702,21.52
01003,M,201265,451692,1114016200002470039,25.81,11140615,207263,201261,451688,201269,451695,25.81
01003,M,201287,451674,1114016200002470058,52.32,11140615,207263,201283,451671,201291,451677,26.16
01003,M,201283,451689,1114016200002470036,24.41,11140615,207263,201279,451685,201288,451692,24.41
01003,M,201273,451683,1114016200002470040,65.07,11140615,207263,201268,451677,201279,451689,65.07
01003,M,201293,451718,1114016200002470011,84.73,11140615,207263,201289,451710,201298,451724,84.73
01003,M,201302,451720,1114016200002470002,79.03,11140615,207263,201297,451713,201308,451725,79.03
01003,M,200624,450014,1114016200004320735,121.4,11140625,207394,200618,450008,200629,450020,60.7
01001,M,200629,450023,1114016200004321273,36.53,11140625,207394,200623,450019,200633,450027,36.53
01003,M,196860,450438,1114017400001760043,140.88,11140680,208499,196856,450433,196865,450442,35.22
01003,M,197014,450554,1114017400000320000,156.8,11140680,161647,197009,450550,197019,450559,39.2
01001,M,197202,451068,1114017100001490025,25.02,11140680,208263,197199,451064,197205,451072,25.02
02003,M,197200,451083,1114017100001490023,61.15,11140680,208263,197194,451077,197205,451089,61.15
01003,M,200647,450035,1114016200004321075,87.66,11140625,207394,200643,450030,200651,450040,43.83
01003,M,200648,450071,1114016200004320716,94.23,11140625,207370,200643,450062,200653,450078,94.23
01003,M,200651,450090,1114016200004321090,35.25,11140625,207370,200647,450085,200654,450094,35.25
01003,M,200643,450087,1114016200004321212,43.42,11140625,207370,200640,450081,200645,450093,43.42
01003,M,200644,450102,1114016200004321193,144.42,11140625,207370,200639,450095,200648,450108,72.21
01001,M,200634,450085,1114016200004321161,81.03,11140625,207370,200628,450080,200641,450089,81.03
02003,M,200632,450095,1114016200004320713,170.9,11140625,207370,200626,450090,200638,450101,85.45
02003,M,200631,450106,1114016200004320711,179.64,11140625,207370,200625,450101,200637,450111,89.82
01003,M,200645,450114,1114016200004321172,121.44,11140625,207370,200641,450109,200650,450119,60.72
01001,M,197177,450733,1114017300000620026,46.42,11140680,208455,197171,450727,197182,450736,46.42
01001,M,197164,450721,1114017300000620031,29.36,11140680,208455,197159,450717,197168,450725,29.36
01001,M,197169,450718,1114017300000620031,35.35,11140680,208455,197165,450713,197174,450722,35.35
01002,M,197160,450708,1114017300000620035,413.8,11140680,208455,197154,450701,197167,450715,82.76
01001,M,197148,450716,1114017300000620104,38.77,11140680,208455,197143,450712,197153,450721,38.77
01001,M,197185,450727,1114017300000620027,31.94,11140680,208455,197180,450722,197189,450732,31.94
01001,M,197152,451197,1114017100004690000,28.35,11140680,208249,197148,451193,197157,451202,28.35
01001,M,197076,451201,1114017100004390000,24.41,11140680,208247,197074,451196,197080,451205,24.41
01003,M,197076,451219,1114017100004370000,211.5,11140680,208247,197072,451214,197081,451224,42.3
02003,M,197061,451199,1114017100004980000,590.95,11140680,208247,197050,451194,197073,451204,118.19
01001,M,197052,451189,1114017100004970000,53.83,11140680,208247,197048,451184,197056,451194,53.83
01001,M,197064,451190,1114017100004960000,60.21,11140680,208247,197061,451184,197068,451196,60.21
01001,M,197057,451181,1114017100004930000,140.76,11140680,208247,197047,451178,197068,451183,70.38
01001,M,197034,451183,1114017100004890000,62.43,11140680,208247,197028,451178,197041,451189,62.43
01003,M,200631,450116,1114016200004320710,147.52,11140625,207370,200625,450112,200638,450120,73.76
01001,M,200628,450129,1114016200004320707,62.56,11140625,207370,200624,450123,200633,450135,62.56
01001,M,200614,450130,1114016200004320701,60.36,11140625,207370,200609,450124,200620,450135,60.36
01001,M,200613,450116,1114016200004320702,73.33,11140625,207370,200608,450111,200619,450120,73.33
01001,M,200601,450102,1114016200004320704,50.4,11140625,207370,200598,450095,200605,450108,50.4
01003,M,200604,450125,1114016200004321285,46.66,11140625,207370,200600,450120,200608,450130,46.66
01003,M,200597,450117,1114016200004321315,215.64,11140625,207370,200590,450111,200603,450125,107.82
01003,M,200742,450237,1114016200003660106,90.51,11140635,207894,200734,450231,200749,450244,90.51
01003,M,197833,450923,1114011800001790000,208.95,11140540,206665,197826,450918,197840,450929,69.65
01003,M,197829,450909,1114011800001960000,53.18,11140540,206665,197825,450905,197833,450913,26.59
01003,M,197943,450792,1114011200002190003,228.39,11140540,206601,197937,450784,197948,450798,76.13
01003,M,197948,450779,1114011200002160003,28.3,11140540,206601,197945,450774,197951,450784,14.15
01003,M,197028,451175,1114017100004880000,236.25,11140680,208247,197021,451168,197034,451182,78.75
01003,M,202156,451556,1114016200000850699,14.35,11140650,208074,202154,451552,202159,451559,14.35
01003,M,202162,451551,1114016200000850241,33.24,11140650,208074,202156,451548,202167,451555,33.24
01003,M,202178,451539,1114016200000850241,69.03,11140650,208074,202170,451533,202183,451544,69.03
01003,M,202188,451527,1114016200000850241,47.55,11140650,208074,202183,451524,202192,451531,47.55
01003,M,202180,451529,1114016200000850247,40.85,11140650,208074,202175,451524,202183,451534,40.85
01003,M,202172,451535,1114016200000850247,40.16,11140650,208074,202167,451529,202177,451540,40.16
01003,M,202228,451560,1114016200000850295,96.13,11140650,208038,202221,451553,202235,451566,96.13
01003,M,202239,451561,1114016200008450000,39.68,11140650,208038,202234,451557,202243,451565,39.68
01003,M,202187,451535,1114016200000850241,58.5,11140650,208074,202183,451530,202192,451541,58.5
01003,M,202196,451541,1114016200000850241,81.09,11140650,208074,202190,451536,202202,451545,81.09
01003,M,202197,451534,1114016200000850319,32.87,11140650,208074,202193,451531,202202,451537,32.87
01003,M,202205,451529,1114016200000850288,25.05,11140650,208074,202202,451526,202209,451532,25.05
01002,M,200814,450409,1114016200003650014,69.9,11140625,207348,200809,450404,200820,450414,34.95
01003,M,197951,450771,1114011200002160009,17.06,11140540,206601,197949,450767,197954,450775,8.53
01003,M,202212,451530,1114016200000850320,20.49,11140650,208074,202209,451527,202216,451534,20.49
01003,M,202196,451521,1114016200000850322,14.71,11140650,208074,202193,451519,202199,451524,14.71
01003,M,202213,451525,1114016200000850288,22.21,11140650,208074,202209,451522,202218,451528,22.21
01003,M,202217,451522,1114016200000850288,42,11140650,208074,202211,451517,202222,451526,42
01003,M,202187,451520,1114016200000850668,55.46,11140650,208074,202182,451515,202192,451524,55.46
01003,M,202176,451523,1114016200000850247,55.88,11140650,208074,202171,451518,202182,451528,55.88
01003,M,202205,451513,1114016200000850326,88,11140650,208074,202197,451507,202213,451520,88
01003,M,202204,451521,1114016200000850326,32.91,11140650,208074,202200,451516,202209,451525,32.91
01003,M,202193,451508,1114016200000850669,26.97,11140650,208074,202190,451503,202197,451512,26.97
01003,M,202208,451538,1114016200000850288,43.86,11140650,208074,202205,451532,202212,451544,43.86
01003,M,202227,451551,1114016200000850298,59.57,11140650,208038,202220,451547,202236,451558,59.57
01003,M,202214,451539,1114016200000850288,56.61,11140650,208074,202208,451535,202222,451543,56.61
01003,M,202227,451537,1114016200000850288,45.73,11140650,208074,202223,451532,202231,451542,45.73
01003,M,202235,451529,1114016200000850304,43.33,11140650,208074,202230,451525,202240,451534,43.33
01003,M,202225,451528,1114016200000850288,16.15,11140650,208074,202221,451524,202228,451532,16.15
01003,M,202227,451523,1114016200000850288,36.85,11140650,208074,202224,451517,202231,451529,36.85
01003,M,202235,451520,1114016200000850332,43.65,11140650,208074,202230,451514,202240,451526,43.65
01003,M,201695,451772,1114016200001300006,236.82,11140650,208026,201690,451766,201700,451778,78.94
01000,M,200943,450509,1114016200003680055,59.8,11140635,207406,200937,450503,200949,450515,59.8
01003,M,200951,450501,1114016200003680054,259.76,11140635,207406,200943,450493,200960,450510,129.88
01001,M,196920,450593,1114017400000120057,195.44,11140680,208480,196914,450588,196926,450599,48.86
01001,M,196941,450593,1114017400000120047,24.31,11140680,208480,196937,450588,196945,450596,24.31
01001,M,196924,450599,1114017400000120056,57.52,11140680,208480,196919,450595,196928,450603,28.76
01001,M,196931,450624,1114017400000100083,23.78,11140680,208470,196927,450621,196933,450629,23.78
02003,M,196938,450624,1114017400000100079,87.56,11140680,208470,196934,450620,196943,450628,43.78
01003,M,196939,450632,1114017400000100078,96.64,11140680,208470,196935,450628,196944,450636,48.32
02003,M,196941,450639,1114017400000100077,70.74,11140680,208470,196936,450636,196945,450642,35.37
01003,M,196937,450616,1114017400000100080,137.1,11140680,208470,196933,450612,196942,450620,45.7
01001,M,196947,450617,1114017400000100075,53.04,11140680,208470,196942,450612,196952,450621,53.04
