관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,WGS84위도,WGS84경도
서울특별시 중구청,서울특별시 중구 동호로17길123-15,서울특별시 중구 신당동432-1826,생활방범,37.5535,127.0051
서울특별시 중구청,서울특별시 중구 다산로28길10,서울특별시 중구 신당동309-257,생활방범,37.5597,127.0141
서울특별시 중구청,서울특별시 중구 퇴계로88나길 23 (신당동),서울특별시 중구 신당5동 67-32,생활방범,37.5625,127.0206
서울특별시 중구청,서울특별시 중구 퇴계로90길 58 (신당동),서울특별시 중구 신당5동 80-32,생활방범,37.5629,127.0216
서울특별시 중구청,서울특별시 중구 다산로36가길 61 (신당동),서울특별시 중구 신당5동 80-68,생활방범,37.5619,127.0214
서울특별시 중구청,서울특별시 중구 난계로 127-1 (신당동),서울특별시 중구 신당5동 85-110,생활방범,37.5633,127.0239
서울특별시 중구청,서울특별시 중구 다산로42길 17 (신당동),서울특별시 중구 신당5동 111-1,생활방범,37.5649,127.0168
서울특별시 중구청,서울특별시 중구 다산로44길 33 (신당동),서울특별시 중구 신당5동 120-26,생활방범,37.5651,127.0188
서울특별시 중구청,서울특별시 중구 다산로40길 38 (신당동),서울특별시 중구 신당5동 123-1,생활방범,37.5635,127.0183
서울특별시 중구청,서울특별시 중구 다산로42길 55 (신당동),서울특별시 중구 신당5동 132-9,생활방범,37.5642,127.0192
서울특별시 중구청,서울특별시 중구 퇴계로88길 8-2 (신당동),서울특별시 중구 신당5동 140-26,생활방범,37.5651,127.0213
서울특별시 중구청,서울특별시 중구 동호로28길 34 (장충동2가),서울특별시 중구 장충동2가 186-25,쓰레기단속,37.5608,127.0036
서울특별시 중구청,서울특별시 중구 장충단로8가길 26 (광희동2가),서울특별시 중구 광희동2가 303-24,쓰레기단속,37.5634,127.0078
서울특별시 중구청,서울특별시 중구 퇴계로41길 40 (인현동2가),서울특별시 중구 인현동2가 181-70,쓰레기단속,37.5637,126.9961
서울특별시 중구청,서울특별시 중구 다산로42길 55 (신당5동),서울특별시 중구 신당5동 132-9,쓰레기단속,37.5642,127.0192
서울특별시 중구청,서울특별시 중구 창경궁로1길 37 (충무로4가),서울특별시 중구 충무로4가 109-1,쓰레기단속,37.5624,126.9964
서울특별시 중구청,서울특별시 중구 을지로39길 40 (을지로6가),서울특별시 중구 을지로6가 18-14,쓰레기단속,37.5683,127.0060
서울특별시 중구청,서울특별시 중구 다산로 236-1,서울특별시중구신당동101-8,교통단속,37.5640,127.0160
서울특별시 중구청,서울특별시 중구 퇴계로 345,서울특별시 중구 을지로7가 15,교통단속,37.5647,127.0099
서울특별시 중구청,서울특별시 중구 퇴계로 386 (신당동),서울특별시 중구 신당동 247-16,교통단속,37.5651,127.0147
서울특별시 중구청,서울특별시 중구 을지로 6 (을지로1가),서울특별시 중구 소공동 91-8,교통단속,37.5652,126.9788
서울특별시 중구청,서울특별시 중구 다산로 183 (신당동),서울특별시 중구 신당동 309-35,교통단속,37.5596,127.0132
서울특별시 중구청,서울특별시 중구 청파로 447 (중림동),서울특별시 중구 중림동 149-21,교통단속,37.5594,126.9688
서울특별시 중구청,서울특별시 중구 서소문로 115 (서소문동),서울특별시 중구 서소문동 47-2,교통단속,37.5631,126.9738
서울특별시 중구청,서울특별시 중구 난계로 187 (황학동),서울특별시 중구 황학동 1103,교통단속,37.5682,127.0234
서울특별시 중구청,서울특별시 중구 을지로9길 34,서울특별시중구수표동56-17,교통단속,37.5687,127.0023
서울특별시 중구청,서울특별시 중구 충무로 22 (인현동1가),서울특별시 중구 인현동1가 142-1,교통단속,37.5631,126.9931
서울특별시 중구청,서울특별시 중구 을지로 282 (을지로7가),서울특별시 중구 을지로7가 57,교통단속,37.5655,127.0092
서울특별시 중구청,서울특별시 중구 을지로 189 (을지로4가),서울특별시 중구 을지로4가 122-2,교통단속,37.5668,126.9990
서울특별시 중구청,서울특별시 중구 동호로 351 (을지로5가),서울특별시 중구 을지로5가 274-5,교통단속,37.5658,127.0022
서울특별시 중구청,서울특별시 중구 동호로 372 (방산동),서울특별시 중구 방산동 130-3,교통단속,37.5676,127.0024
서울특별시 중구청,서울특별시 중구 동호로35길 26 (을지로5가),서울특별시 중구 을지로5가 270-10,교통단속,37.5667,127.0010
서울특별시 중구청,서울특별시 중구 퇴계로 120 (남산동1가),서울특별시 중구 남산동1가 1-2,교통단속,37.5607,126.9850
서울특별시 중구청,서울특별시 중구 을지로 251 (을지로6가),서울특별시 중구 을지로6가18-131,교통단속,37.5664,127.0064
서울특별시 중구청,서울특별시 중구 다산로44길 53,서울특별시 중구 신당5동 140-34,생활방범,37.5651,127.0197
서울특별시 중구청,서울특별시 중구 퇴계로90길 18 (신당동),서울특별시 중구 신당5동 151-16,생활방범,37.5644,127.0221
서울특별시 중구청,서울특별시 중구 다산로42길 79 (신당동),서울특별시 중구 신당5동 154-28,생활방범,37.5638,127.0204
서울특별시 중구청,서울특별시 중구 퇴계로90길 36 (신당동),서울특별시 중구 신당5동 154-47,생활방범,37.5636,127.0218
서울특별시 중구청,서울특별시 중구 퇴계로88가길 9 (신당동),서울특별시 중구 신당5동 155-17,생활방범,37.5634,127.0207
서울특별시 중구청,서울특별시 중구 퇴계로88가길 48 (신당동),서울특별시 중구 신당5동 165-10,생활방범,37.5630,127.0229
서울특별시 중구청,서울특별시 중구 퇴계로88가길 48-21 (신당동),서울특별시 중구 신당5동 166-11,생활방범,37.5621,127.0230
서울특별시 중구청,서울특별시 중구 다산로44길 119 (신당동),서울특별시 중구 신당5동 170-4,생활방범,37.5645,127.0238
서울특별시 중구청,서울특별시 중구 왕십리로39길 19 (신당동),서울특별시 중구 신당5동 653,생활방범,37.5641,127.0258
서울특별시 중구청,서울특별시 중구 왕십리로37길 18 (신당동,서울특별시 중구 신당5동 713,생활방범,37.5641,127.0265
서울특별시 중구청,서울특별시 중구 다산로36가길 13 (신당동),서울특별시 중구 동화동 52-7,생활방범,37.5616,127.0187
서울특별시 중구청,서울특별시 중구 다산로40길 56 (신당동),서울특별시 중구 동화동 52-13,생활방범,37.5632,127.0192
서울특별시 중구청,서울특별시 중구 다산로38길 51 (신당동),서울특별시 중구 동화동 52-232,생활방범,37.5625,127.0183
서울특별시 중구청,서울특별시 중구 다산로36가길 26-14 (신당동),서울특별시 중구 동화동 57-587,생활방범,37.5607,127.0208
서울특별시 중구청,서울특별시 중구 다산로36가길 26 (신당동),서울특별시 중구 동화동 62-86,생활방범,37.5613,127.0200
서울특별시 중구청,서울특별시 중구 다산로38길 21 (신당동),서울특별시 중구 동화동 276-5,생활방범,37.5630,127.0168
서울특별시 중구청,서울특별시 중구 다산로42나길 49 (신당동),서울특별시 중구 동화동 280-3,생활방범,37.5623,127.0175
서울특별시 중구청,서울특별시 중구 다산로36길 30 (신당동),서울특별시 중구 동화동 282-5,생활방범,37.5621,127.0168
서울특별시 중구청,서울특별시 중구 다산로32길 14 (신당동),서울특별시 중구 동화동 288-5,생활방범,37.5611,127.0150
서울특별시 중구청,서울특별시 중구 청구로4길 39 (신당동),서울특별시 중구 동화동 290-50,생활방범,37.5617,127.0159
서울특별시 중구청,서울특별시 중구 다산로32길 29 (신당동),서울특별시 중구 동화동 290-131,생활방범,37.5607,127.0160
서울특별시 중구청,서울특별시 중구 다산로36길 11 (신당동),서울특별시 중구 동화동 291-48,생활방범,37.5628,127.0160
서울특별시 중구청,서울특별시 중구 퇴계로86길 96,서울특별시 중구 동화동 49-26,생활방범,37.5623,127.0181
서울특별시 중구청,서울특별시 중구 왕십리로 39길 15,서울특별시 중구 신당5동 612,생활방범,37.5641,127.0259
