,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드
3037,LINK,,0,,LINESTRING(127.00637346034055 37.56786802343288127.00659771420159 37.56784054876311),16528,1011,73973,7642,20.045,1114000000,중구,1114014800,을지로6가,0,0,0,0,0,0,0,0,11140590
3038,LINK,,0,,LINESTRING(127.00872750433567 37.56217177054527127.00869874693875 37.562096251130804127.00868722385424 37.561892572678346127.00901494803296 37.561819315100905127.00914143631555 37.56177811180726127.00908967684506 37.56167742041425127.00908390909919 37.56152866630273127.00909540649941 37.561512645695984127.00916009045628 37.561513784961065),20202,1011,8266,8206,109.894,1114000000,중구,1114014300,장충동1가,0,0,0,0,0,0,0,0,11140580
3039,NODE,POINT(127.01128296710215 37.56025376436402),10160,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3040,LINK,,0,,LINESTRING(127.00606939455986 37.55847138066859127.00619300655013 37.55845993158534127.00627637608947 37.558491966642755127.00650349430578 37.55866817137669127.00656099687296 37.55875970950526),10213,1011,72049,72048,58.555,1114000000,중구,1114014400,장충동2가,0,0,0,0,0,0,0,0,11140570
3041,LINK,,0,,LINESTRING(126.99114605953898 37.56410099278663126.99122367179729 37.564194828337484126.99132713963482 37.564453439937395),20204,1111,9723,6679,42.593,1114000000,중구,1114015900,초동,0,0,0,0,0,0,0,0,11140605
3042,NODE,POINT(127.01059325412766 37.5603038521869),10159,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3043,NODE,POINT(127.00213534274212 37.558534452011905),7555,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3044,LINK,,0,,LINESTRING(126.99384333370016 37.55699927721486126.99402011823959 37.55697237560903126.9941063552123 37.55700899647983126.99424433236156 37.55709596755552126.99429606554558 37.557237859133764126.99432480324113 37.55735686425016126.99448002396349 37.55751706893619126.99452601487062 37.557571995874284126.99451020357685 37.55770703902103),52122,1000,122687,122690,114.773,1114000000,중구,1114013800,필동2가,0,0,0,0,0,1,0,0,11140570
3045,NODE,POINT(127.01056165631361 37.56048007198862),10158,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3046,NODE,POINT(127.00206059411146 37.558321619783854),7556,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3047,LINK,,0,,LINESTRING(127.01098754943504 37.55513319932988127.01118882214314 37.55547646053826),52689,1111,125993,125999,42.044,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3048,NODE,POINT(127.01040351990719 37.56031760025055),10157,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3049,NODE,POINT(127.00187086386332 37.55835595093612),7557,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3050,LINK,,0,,LINESTRING(127.01643494271053 37.56354333505038127.01666681617861 37.56396278695482),20258,1111,10002,9139,50.862,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3051,NODE,POINT(127.0103658777342 37.56002270669177),10156,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3052,NODE,POINT(127.00080435761684 37.559568885326044),7583,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3053,LINK,,0,,LINESTRING(126.99184079485498 37.56008180951266126.99187814912536 37.56016017389198126.9919385151583 37.560201371608294126.99209087373232 37.56024944108818),52270,1111,6837,9741,30.808,1114000000,중구,1114013700,필동1가,0,0,0,0,0,0,0,0,11140570
3054,NODE,POINT(127.00931650786902 37.55941633308537),10155,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3055,LINK,,0,,LINESTRING(126.97778737833549 37.5553421167401126.97766094106434 37.55519104963909),22449,1000,6196,120834,20.148,1114000000,중구,1114011200,남창동,0,0,0,0,0,1,0,0,11140540
3056,LINK,,0,,LINESTRING(126.9922382819186 37.557398147170666126.99204078739255 37.55824642004168126.99195738314454 37.55859655991742126.99182511582526 37.55887117476217126.99159510490718 37.55915722519119126.99124147902755 37.55943182339056126.99093098259642 37.55961945960829126.99074411418904 37.55969038961045126.99052274501081 37.559786490407305126.99027263050255 37.559859703099804126.99019069947818 37.55985969632123),18675,1111,213932,6830,355.089,1114000000,중구,1114014200,예장동,0,0,0,0,0,0,0,0,11140570
3057,NODE,POINT(127.01011029283517 37.56032906838477),10154,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3058,LINK,,0,,LINESTRING(126.97791093610813 37.555511491434885126.97806041425598 37.55551609637262126.9781725138677 37.55555044515833),10662,1000,120832,6197,23.831,1114000000,중구,1114011200,남창동,0,0,0,0,0,1,0,0,11140540
3059,LINK,,0,,LINESTRING(126.97547338215003 37.55697612098092126.97564813040222 37.55704553737928),43316,1011,5863,21874,17.256,1114000000,중구,1114011800,남대문로5가,0,0,0,0,0,0,0,1,11140540
3060,NODE,POINT(127.00704420454292 37.56144641847707),10153,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3061,LINK,,0,,LINESTRING(126.96684832866875 37.558050319934864126.9669029186678 37.5581167027041),215074,1111,15213,15222,8.806,1114000000,중구,1114017100,중림동,0,0,0,0,0,0,0,0,11140680
3062,LINK,,0,,LINESTRING(127.01666681617861 37.56396278695482127.01719576654321 37.56380251394863),18476,1111,9139,9326,50.004,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3063,NODE,POINT(127.005577969877 37.56051506438252),10152,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3064,NODE,POINT(127.00263844433394 37.55925075257068),7582,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3065,LINK,,0,,LINESTRING(126.97859026864613 37.55730010558487126.97845229482408 37.55726346395319),18545,1011,6090,6088,12.851,1114000000,중구,1114011200,남창동,0,0,0,0,0,0,0,0,11140540
3066,NODE,POINT(127.00988606247756 37.56035426122627),10151,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3067,LINK,,0,,LINESTRING(127.00429609815193 37.56553386663299127.00465259175158 37.56544917750817),6598,1011,7708,71661,32.868,1114000000,중구,1114014500,광희동1가,0,0,0,0,0,0,0,0,11140590
3068,LINK,,0,,LINESTRING(127.0005873724106 37.56712218301288127.00073794893429 37.56745786314442127.00080442566919 37.56753292319243127.00080442566919 37.56753292319243),43318,1111,122736,7331,49.753,1114000000,중구,1114015100,을지로5가,0,0,0,0,0,0,0,0,11140605
3069,NODE,POINT(127.00971906879835 37.56014863097897),10150,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
3070,NODE,POINT(127.00260108905921 37.55972447961687),7581,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3071,LINK,,0,,LINESTRING(126.96502680726772 37.55582419577099126.96518485798252 37.555938669167304),47249,1000,5627,5628,18.88,1114000000,중구,1114017400,만리동2가,0,0,0,0,0,1,0,0,11140680
3072,NODE,POINT(127.00923757654314 37.560424437754705),10149,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3073,NODE,POINT(127.00180762449963 37.558536746016856),7558,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3074,LINK,,0,,LINESTRING(127.00656987485557 37.56165012514088127.00641463909916 37.561716501093294),19218,1111,7746,7761,15.569,1114000000,중구,1114014300,장충동1가,0,0,0,0,0,0,0,0,11140580
3075,NODE,POINT(127.00574468075006 37.5601580453782),10148,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,1,,,11140580
3076,LINK,,0,,LINESTRING(127.01974129797449 37.568438677207425127.01966942101787 37.568440977733474),8200,1111,9068,127061,6.355,1114000000,중구,1114016500,황학동,0,0,0,0,0,0,0,0,11140670
3077,LINK,,0,,LINESTRING(126.97472184769592 37.56535158903594126.9747103694239 37.56528750773421),19221,1000,5720,5717,7.184,1114000000,중구,1114016700,정동,0,0,0,0,0,1,0,0,11140520
3078,NODE,POINT(127.00611718759428 37.56007531572542),10147,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3079,NODE,POINT(127.0014137857697 37.558440633010356),7560,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
3080,LINK,,0,,LINESTRING(126.964561315433 37.55540983234841126.96468491141057 37.55543504325332126.9648142018014 37.55557697095382126.9648515222579 37.55568225462608),19222,1000,5620,5623,42.874,1114000000,중구,1114017400,만리동2가,0,0,0,0,0,1,0,0,11140680
3081,NODE,POINT(127.00617181051155 37.560100486737085),10146,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3082,NODE,POINT(127.01224121411265 37.557336884397294),8834,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,1,,,11140615
3083,LINK,,0,,LINESTRING(126.99721091544623 37.5593033853565126.99709016547258 37.55957114074135),41479,1111,7223,7224,31.575,1114000000,중구,1114013900,필동3가,0,0,0,0,0,0,0,0,11140570
3084,NODE,POINT(127.00590571147957 37.56070041953684),10145,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3085,LINK,,0,,LINESTRING(127.01498202700168 37.563563664153435127.01507549466926 37.563472696854845),10772,1111,8822,10004,13.043,1114000000,중구,1114016400,무학동,0,0,0,0,0,0,0,0,11140615
3086,LINK,,0,,LINESTRING(127.02020933434602 37.56619812776168127.01967458193113 37.56620050661785),41482,1111,9209,9210,47.245,1114000000,중구,1114016500,황학동,0,0,0,0,0,0,0,0,11140670
3087,NODE,POINT(127.00726839600122 37.560977255873986),10144,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3088,NODE,POINT(126.96939913612646 37.559252488260846),15242,0,,0,,,,,1114000000,중구,1114017100,중림동,,,,,0,1,,,11140680
3089,LINK,,0,,LINESTRING(126.97724574481282 37.56404415776724126.97731177180873 37.56436227622369),47267,1111,5928,5929,35.786,1114000000,중구,1114011400,태평로2가,0,0,0,0,0,0,0,0,11140520
3090,NODE,POINT(127.00756903214611 37.560867063671736),10143,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3091,LINK,,0,,LINESTRING(126.97760624024494 37.555470240427795126.97776149742296 37.55537415134453),10234,1000,120835,120836,17.376,1114000000,중구,1114011200,남창동,0,0,0,0,0,1,0,0,11140540
3092,LINK,,0,,LINESTRING(127.01592084491784 37.557551567689224127.01607037616188 37.55777353514574),19308,1111,126426,126424,27.955,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
3093,NODE,POINT(127.0074770246847 37.560732046150044),10142,0,,0,,,,,1114000000,중구,1114014300,장충동1가,,,,,0,0,,,11140580
3094,NODE,POINT(127.00268445649938 37.559701592427174),7580,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
