,Unnamed: 0.1,Unnamed: 0,개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
87,87,87,3010000,3010000-102-2002-00017,영업/정상,26.32,서울특별시 중구 충무로3가 34-7번지 2층 ,서울특별시 중구 마른내로4길 36 (충무로3가,2층),4556,2019-10-10 02:40:00,199341.0002,451166.0663,126.9904391,37.56277384
88,88,88,3010000,3010000-102-2002-00020,영업/정상,151.28,서울특별시 중구 충무로3가 33-3번지 지하1층 ,서울특별시 중구 충무로 20 (충무로3가,지하1층),4556,2018-08-31 23:59:59,199337.1865,451182.9967,126.9903959,37.56292638
89,89,89,3010000,3010000-102-2002-00021,영업/정상,147.82,서울특별시 중구 을지로3가 5-6 ,서울특별시 중구 을지로 109 (을지로3가),4543,웰빙(Well - being),룸살롱,199055.2889,451579.3198,126.9872048,37.56649694
90,90,90,3010000,3010000-102-2002-00023,영업/정상,98,서울특별시 중구 광희동1가 187-5번지 지하1층 ,서울특별시 중구 을지로44길 27 (광희동1가,지하1층),4561,2018-08-31 23:59:59,200510.2867,451400.5619,127.0036737,37.5648868
91,91,91,3010000,3010000-102-2002-00025,영업/정상,79,서울특별시 중구 충무로3가 24-16 지하1층,서울특별시 중구 수표로 20-1 (충무로3가,지하1층),4555,2021-12-05 22:09:00,199090.1123,451196.2118,126.9875994,37.56304522
92,92,92,3010000,3010000-102-2002-00027,영업/정상,39.18,서울특별시 중구 광희동1가 175-2번지 2층 ,서울특별시 중구 마른내로 163 (광희동1가,2층),4561,2018-08-31 23:59:59,200477.2503,451376.271,127.0032997,37.56466796
93,93,93,3010000,3010000-102-2002-00030,영업/정상,70.76,서울특별시 중구 충무로4가 28-3번지 지상2층 ,서울특별시 중구 충무로2길 41, 2층 (충무로4가),4556,2018-08-31 23:59:59,199528.4791,451130.4988,126.9925611,37.56245351
94,94,94,3010000,3010000-102-2002-00032,영업/정상,87.88,서울특별시 중구 서소문동 89번지 (3층) ,서울특별시 중구 서소문로 128-3 (서소문동,(3층)),4514,2020-02-07 02:40:00,197770.9203,451225.8832,126.9726682,37.56331022
95,95,95,3010000,3010000-102-2002-00034,영업/정상,49.05,서울특별시 중구 황학동 632 (2층) ,서울특별시 중구 퇴계로87길 15-12 (황학동,(2층)),4576,2021-02-03 02:40:00,201742.6872,451552.4014,127.0176231,37.56625344
96,96,96,3010000,3010000-102-2002-00035,영업/정상,44.8,서울특별시 중구 충무로4가 15-18번지 (지상2층) ,,,오성,룸살롱,199447.9514,451139.1191,126.9916497,37.56253113
97,97,97,3010000,3010000-102-2002-00038,영업/정상,34.32,서울특별시 중구 수표동 56-14번지 (지하1층) ,서울특별시 중구 을지로9길 26 (수표동,(지하1층)),4542,2018-08-31 23:59:59,198933.3682,451641.1434,126.9858247,37.56705383
98,98,98,3010000,3010000-102-2002-00040,영업/정상,37.68,서울특별시 중구 충무로4가 132-5 (지하1층) ,서울특별시 중구 퇴계로 207 (충무로4가,(지하1층)),4557,2021-08-15 02:40:00,199471.2693,451041.0343,126.9919136,37.56164741
99,99,99,3010000,3010000-102-2002-00042,영업/정상,60.5,서울특별시 중구 인현동1가 87-16 (지하1층) ,서울특별시 중구 마른내로 58-1 (인현동1가,(지하1층)),4556,2021-04-18 02:40:00,199430.4178,451318.9648,126.991451,37.56415151
100,100,100,3010000,3010000-102-2002-00043,영업/정상,85.8,서울특별시 중구 충무로4가 22번지 지하1층 ,서울특별시 중구 충무로2길 27, 지하1층 (충무로4가),4556,2018-08-31 23:59:59,199463.5348,451139.1606,126.991826,37.56253152
101,101,101,3010000,3010000-102-2002-00046,영업/정상,114.71,서울특별시 중구 을지로3가 302-15번지 (지하1층) ,서울특별시 중구 충무로7길 19 (을지로3가,(지하1층)),4550,2018-09-05 23:59:59,199183.8349,451487.6491,126.9886599,37.56567113
102,102,102,3010000,3010000-102-2002-00047,영업/정상,89.6,서울특별시 중구 충무로3가 59-10 (지하1층),서울특별시 중구 수표로2길 7 (충무로3가,(지하1층)),4554,2022-12-05 23:01:00,199127.5345,451102.6862,126.9880231,37.5622026
103,103,103,3010000,3010000-102-2002-00050,영업/정상,92.38,서울특별시 중구 회현동1가 202-5번지 (지하1층) ,서울특별시 중구 남대문시장길 73-3 (회현동1가,(지하1층)),4529,2020-05-31 02:40:00,198162.2112,450968.5355,126.9770977,37.56099243
