,개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
92,3010000,3010000-201-2002-00026,영업/정상,757.39,100873,서울특별시 중구 회현동1가 142-8 1층~4층,서울특별시 중구 소공로3길 35 (회현동1가,4633,00:09:00,198377.9574,450478.0291,126.9795406,37.55657344
93,3010000,3010000-201-2002-00027,영업/정상,871,100835,서울특별시 중구 신당동 432-2241,서울특별시 중구 다산로 51 (신당동),벤허,여관업,200566.0023,449646.6396,127.0043031,37.54908411
94,3010000,3010000-201-2002-00028,영업/정상,209.58,100420,서울특별시 중구 무학동 33 2층,3층 , 2층,2020-10-29 10:57:00,201273.5838,451300.0261,127.012313,37.5639803
95,3010000,3010000-201-2002-00030,영업/정상,57.26,100412,서울특별시 중구 광희동2가 42,서울특별시 중구 퇴계로 325-4 (광희동2가),동대문인모텔(Dongdaemun Inn),여관업,200640.7634,451364.2116,127.0051505,37.56455922
96,3010000,3010000-201-2003-00001,영업/정상,744,100880,서울특별시 중구 흥인동 110번지 ,서울특별시 중구 다산로 255-1 (흥인동),레인보우호텔,여관업,201335.5064,451517.0075,127.0130142,37.56593519
97,3010000,3010000-201-2003-00002,영업/정상,22,41,100856,서울특별시 중구 장충동2가 202번지 ,4605,00:59:59,200463.6253,450497.4609,127.003145,37.55674998
98,3010000,3010000-201-2003-00003,영업/정상,1,370.66,100400,서울특별시 중구 쌍림동 240번지 ,4615,00:35:49,200419.8322,451197.2911,127.0026497,37.56305539
99,3010000,3010000-201-2003-00005,영업/정상,848.92,100851,서울특별시 중구 을지로6가 18-73 ,서울특별시 중구 을지로41길 10 (을지로6가),동대문라트리 호텔,여관업,200493.4213,451617.4019,127.0034829,37.56684051
100,3010000,3010000-201-2003-00007,영업/정상,537,100411,서울특별시 중구 광희동1가 182-6번지 ,서울특별시 중구 장충단로 229-5 (광희동1가),루모텔,여관업,200550.7366,451452.0354,127.0041315,37.56535055
101,3010000,3010000-201-2003-00011,영업/정상,248.5,100300,서울특별시 중구 초동 53-19,서울특별시 중구 충무로 21-19 (초동),대신모텔,여관업,199216.0394,451215.1146,126.9890247,37.56321566
102,3010000,3010000-201-2003-00012,영업/정상,69.3,100819,서울특별시 중구 신당동 121-56,서울특별시 중구 다산로42길 29 (신당동),재화여관,여관업,201517.6231,451375.9773,127.0150753,37.56466426
103,3010000,3010000-201-2003-00013,영업/정상,46,100819,서울특별시 중구 신당동 121-15번지 ,서울특별시 중구 다산로44길 30-2 (신당동),수정여관,여관업,201578.7653,451405.5009,127.0157674,37.56493016
104,3010000,3010000-201-2003-00014,영업/정상,650.91,100873,서울특별시 중구 회현동1가 72-1번지 ,서울특별시 중구 퇴계로4길 69 (회현동1가),서울씨티호텔(SEOUL CITY HOTEL),여관업,198243.8762,450663.7063,126.9780227,37.55824612
105,3010000,3010000-201-2003-00018,영업/정상,79.33,100869,서울특별시 중구 황학동 371-6번지 ,서울특별시 중구 퇴계로83길 12-5 (황학동),창덕여인숙,여인숙업,201584.9671,451577.8224,127.015838,37.56648275
106,3010000,3010000-201-2003-00020,영업/정상,359.2,100282,서울특별시 중구 인현동2가 181-5 ,서울특별시 중구 마른내로8길 13 (인현동2가),달콤명동게스트하우스,여관업,199636.1457,451249.4969,126.9937796,37.56352573
107,3010000,3010000-201-2003-00021,영업/정상,164.6,100858,서울특별시 중구 중림동 118-4번지 ,서울특별시 중구 청파로103길 18-4 (중림동),다림여인숙,여인숙업,197134.4538,450666.6007,126.9654666,37.55826934
108,3010000,3010000-201-2003-00022,영업/정상,239.68,100819,서울특별시 중구 신당동 110-5,서울특별시 중구 다산로44길 3-5 (신당동),유니온 모텔,여관업,201460.0903,451436.4072,127.0144242,37.56520881
109,3010000,3010000-201-2003-00023,영업/정상,86,100888,서울특별시 중구 신당동 236-293번지 ,서울특별시 중구 청구로 138 (신당동),한일여관,여관업,200852.7596,451306.0603,127.0075499,37.56403512
110,3010000,3010000-201-2003-00027,영업/정상,95.48,100807,서울특별시 중구 만리동1가 35-8,서울특별시 중구 만리재로37길 9 (만리동1가),천안 여인숙,여인숙업,197079.8183,450470.8962,126.9648491,37.55650589
111,3010000,3010000-201-2003-00029,영업/정상,396,100894,서울특별시 중구 신당동 430-4번지 ,서울특별시 중구 동호로15길 7 (신당동),퀸모텔,여관업,200704.6002,450446.4184,127.0058722,37.55628995
112,3010000,3010000-201-2003-00031,영업/정상,109.72,100272,서울특별시 중구 필동2가 57번지 ,서울특별시 중구 퇴계로42길 3-6 (필동2가),동산여관,여관업,199671.5207,451016.7228,126.9941801,37.56142848
